id;arr_ts;epoch_ts;vendor;frame_nr;subtype;mac_address;rssi;seq_num;ht_capabilities;ht_ampdu;tag_nr;tag_length;tag_mcs;tag_HTex;tag_TXbf;tag_Antsel
1;Apr 15, 2021 17:50:12.324956861 CEST;1618501812.324956861;nil;1;4;fc:27:a2:12:26:b8;-81;1529;0x000011ee;0x00000002;0;0;(none);0x00000000;0x00000000;0x00000000
2;Apr 15, 2021 17:50:15.130246875 CEST;1618501815.130246875;nil;8;4;9e:c7:74:ec:fd:8b;-79;1712;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
3;Apr 15, 2021 17:50:15.149918730 CEST;1618501815.149918730;nil;9;4;9e:c7:74:ec:fd:8b;-81;1713;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
4;Apr 15, 2021 17:50:15.903934802 CEST;1618501815.903934802;nil;10;4;d4:ca:6e:26:91:2d;-81;2201;0x00000120;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
5;Apr 15, 2021 17:50:16.005830525 CEST;1618501816.005830525;nil;11;4;d4:ca:6e:26:91:2d;-77;2203;0x00000120;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
6;Apr 15, 2021 17:50:16.180075903 CEST;1618501816.180075903;nil;12;4;8c:86:1e:0f:ce:b7;-77;3620;0x0000402d;0x0000001b;0;11;(none);0x00000000;0x00000000;0x00000000
7;Apr 15, 2021 17:50:16.205165705 CEST;1618501816.205165705;nil;13;4;8c:86:1e:0f:ce:b7;-77;3622;0x0000402d;0x0000001b;0;11;(none);0x00000000;0x00000000;0x00000000
8;Apr 15, 2021 17:50:16.217422750 CEST;1618501816.217422750;nil;14;4;8c:86:1e:0f:ce:b7;-79;3623;0x0000402d;0x0000001b;0;11;(none);0x00000000;0x00000000;0x00000000
9;Apr 15, 2021 17:50:16.952527021 CEST;1618501816.952527021;nil;15;4;9c:ad:97:03:ff:4c;-81;1988;0x00000120;0x00000003;0;14;(none);0x00000000;0x00000000;0x00000000
10;Apr 15, 2021 17:50:16.955645616 CEST;1618501816.955645616;nil;16;4;9c:ad:97:03:ff:4c;-81;1989;0x00000120;0x00000003;0;14;(none);0x00000000;0x00000000;0x00000000
11;Apr 15, 2021 17:50:16.957321759 CEST;1618501816.957321759;nil;17;4;9c:ad:97:03:ff:4c;-81;1990;0x00000120;0x00000003;0;14;(none);0x00000000;0x00000000;0x00000000
12;Apr 15, 2021 17:50:17.657136071 CEST;1618501817.657136071;nil;19;4;da:a1:19:6a:46:82;-83;929;0x000001ac;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
13;Apr 15, 2021 17:50:17.658715394 CEST;1618501817.658715394;nil;20;4;d4:ca:6e:26:91:2d;-79;2228;0x00000120;0x00000003;0;9;(none);0x00000000;0x00000000;0x00000000
14;Apr 15, 2021 17:50:17.659666040 CEST;1618501817.659666040;nil;21;4;d4:ca:6e:26:91:2d;-79;2229;0x00000120;0x00000003;0;9;(none);0x00000000;0x00000000;0x00000000
15;Apr 15, 2021 17:50:18.274778539 CEST;1618501818.274778539;nil;23;4;ec:5c:68:4f:4f:1b;-73;1155;0x000001ac;0x0000001b;0;17;(none);0x00000000;0x00000000;0x00000000
16;Apr 15, 2021 17:50:18.285305485 CEST;1618501818.285305485;nil;24;4;ec:5c:68:4f:4f:1b;-77;1156;0x000001ac;0x0000001b;0;17;(none);0x00000000;0x00000000;0x00000000
17;Apr 15, 2021 17:50:18.550473539 CEST;1618501818.550473539;nil;26;4;aa:48:19:4d:fe:85;-73;247;0x0000016f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
18;Apr 15, 2021 17:50:18.588240943 CEST;1618501818.588240943;nil;27;4;32:42:b0:c9:cf:ef;-33;1288;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
19;Apr 15, 2021 17:50:19.228881699 CEST;1618501819.228881699;nil;29;4;fe:31:64:81:f9:ae;-63;581;0x0000092d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
20;Apr 15, 2021 17:50:19.703526808 CEST;1618501819.703526808;nil;30;4;66:99:49:6a:1d:69;-65;2278;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
21;Apr 15, 2021 17:50:20.173370717 CEST;1618501820.173370717;nil;31;4;36:14:50:5b:00:d7;-79;2625;0x0000012d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
22;Apr 15, 2021 17:50:20.358100152 CEST;1618501820.358100152;nil;32;4;c2:8a:cc:35:e3:af;-79;933;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
23;Apr 15, 2021 17:50:20.378286206 CEST;1618501820.378286206;nil;33;4;c2:8a:cc:35:e3:af;-81;934;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
24;Apr 15, 2021 17:50:22.235799240 CEST;1618501822.235799240;nil;37;4;da:a1:19:eb:96:b5;-83;968;0x000001ac;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
25;Apr 15, 2021 17:50:24.038451004 CEST;1618501824.038451004;nil;38;4;d4:ca:6e:26:91:2d;-83;2280;0x00000120;0x00000003;0;9;(none);0x00000000;0x00000000;0x00000000
26;Apr 15, 2021 17:50:24.075335409 CEST;1618501824.075335409;nil;40;4;02:ae:fe:fc:4d:c6;-81;2129;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
27;Apr 15, 2021 17:50:24.096191438 CEST;1618501824.096191438;nil;41;4;9c:ad:97:03:ff:4c;-77;2038;0x00000120;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
28;Apr 15, 2021 17:50:24.294538055 CEST;1618501824.294538055;nil;42;4;9c:ad:97:03:ff:4c;-77;2040;0x00000120;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
29;Apr 15, 2021 17:50:24.295576354 CEST;1618501824.295576354;nil;43;4;9c:ad:97:03:ff:4c;-77;2041;0x00000120;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
30;Apr 15, 2021 17:50:24.452042793 CEST;1618501824.452042793;nil;44;4;02:00:00:00:00:00;-71;2058;0x0000012d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
31;Apr 15, 2021 17:50:24.671113152 CEST;1618501824.671113152;nil;46;4;d0:b1:28:a0:89:6f;-77;1463;0x0000016f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
32;Apr 15, 2021 17:50:26.775170873 CEST;1618501826.775170873;nil;48;4;da:a1:19:77:97:f7;-81;1006;0x000001ac;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
33;Apr 15, 2021 17:50:26.971668944 CEST;1618501826.971668944;nil;49;4;56:a8:72:f7:4c:76;-81;695;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
34;Apr 15, 2021 17:50:27.059282341 CEST;1618501827.059282341;nil;50;4;3a:68:66:e5:98:1a;-83;1582;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
35;Apr 15, 2021 17:50:27.318740140 CEST;1618501827.318740140;nil;51;4;9e:5e:4f:f4:ec:3c;-75;1338;0x0000002d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
36;Apr 15, 2021 17:50:28.481087867 CEST;1618501828.481087867;nil;52;4;ec:5c:68:4f:4f:1b;-71;1287;0x000001ac;0x0000001b;0;17;(none);0x00000000;0x00000000;0x00000000
37;Apr 15, 2021 17:50:29.028351048 CEST;1618501829.028351048;nil;54;4;da:a1:19:d1:ab:a0;-75;1024;0x000001ac;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
38;Apr 15, 2021 17:50:29.710318537 CEST;1618501829.710318537;nil;55;4;ca:43:9e:19:63:d9;-79;2569;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
39;Apr 15, 2021 17:50:31.362223782 CEST;1618501831.362223782;nil;59;4;da:a1:19:4d:b4:af;-71;1045;0x000001ac;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
40;Apr 15, 2021 17:50:31.883256378 CEST;1618501831.883256378;nil;61;4;ea:67:18:c3:b7:ce;-75;56;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
41;Apr 15, 2021 17:50:32.162165990 CEST;1618501832.162165990;nil;62;4;56:61:25:7f:db:20;-67;541;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
42;Apr 15, 2021 17:50:32.182391201 CEST;1618501832.182391201;nil;63;4;56:61:25:7f:db:20;-69;543;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
