id;arr_ts;epoch_ts;vendor;frame_nr;subtype;mac_address;rssi;seq_num;ht_capabilities;ht_ampdu;tag_nr;tag_length;tag_mcs;tag_HTex;tag_TXbf;tag_Antsel
1;Apr 12, 2021 19:43:48.080841705 CEST;1618249428.080841705;nil;1;4;46:30:2f:d9:34:ed;-77;2916;0x0000016f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
2;Apr 12, 2021 19:43:48.117512582 CEST;1618249428.117512582;nil;2;4;46:30:2f:d9:34:ed;-79;2917;0x0000016f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
3;Apr 12, 2021 19:43:48.284711194 CEST;1618249428.284711194;nil;3;4;f6:8a:83:38:3e:07;-67;2531;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
4;Apr 12, 2021 19:43:48.574831839 CEST;1618249428.574831839;nil;4;4;da:a2:71:08:4a:45;-55;2137;0x0000402d;0x0000001b;0;11;(none);0x00000000;0x00000000;0x00000000
5;Apr 12, 2021 19:43:48.585069261 CEST;1618249428.585069261;nil;5;4;da:a2:71:08:4a:45;-55;2138;0x0000402d;0x0000001b;0;11;(none);0x00000000;0x00000000;0x00000000
6;Apr 12, 2021 19:43:50.384713033 CEST;1618249430.384713033;nil;6;4;76:cb:10:12:64:56;-59;590;0x0000402d;0x00000017;0;7;(none);0x00000000;0x00000000;0x00000000
7;Apr 12, 2021 19:43:50.410223781 CEST;1618249430.410223781;nil;7;4;76:cb:10:12:64:56;-57;591;0x0000402d;0x00000017;0;7;(none);0x00000000;0x00000000;0x00000000
8;Apr 12, 2021 19:43:50.433514451 CEST;1618249430.433514451;nil;8;4;76:cb:10:12:64:56;-57;592;0x0000402d;0x00000017;0;7;(none);0x00000000;0x00000000;0x00000000
9;Apr 12, 2021 19:43:52.383946261 CEST;1618249432.383946261;nil;9;4;42:30:07:67:6e:36;-59;1843;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
10;Apr 12, 2021 19:43:53.670565679 CEST;1618249433.670565679;nil;10;4;f6:81:91:6d:3e:3b;-61;439;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
11;Apr 12, 2021 19:43:53.671729777 CEST;1618249433.671729777;nil;11;4;9e:4b:85:42:e1:a3;-51;3416;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
12;Apr 12, 2021 19:43:53.691521798 CEST;1618249433.691521798;nil;12;4;f6:81:91:6d:3e:3b;-57;440;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
13;Apr 12, 2021 19:43:53.692782922 CEST;1618249433.692782922;nil;13;4;9e:4b:85:42:e1:a3;-49;3417;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
14;Apr 12, 2021 19:43:53.700255663 CEST;1618249433.700255663;nil;14;4;a6:aa:67:f0:aa:22;-77;715;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
15;Apr 12, 2021 19:43:53.775780991 CEST;1618249433.775780991;nil;15;4;2e:0d:0b:e3:8c:69;-51;1664;0x000001ad;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
16;Apr 12, 2021 19:43:54.694329993 CEST;1618249434.694329993;nil;16;4;b8:27:eb:6b:c4:60;-47;1606;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
17;Apr 12, 2021 19:43:54.767408276 CEST;1618249434.767408276;nil;17;4;b8:27:eb:6b:c4:60;-41;1609;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
18;Apr 12, 2021 19:43:54.787675269 CEST;1618249434.787675269;nil;18;4;b8:27:eb:6b:c4:60;-41;1610;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
19;Apr 12, 2021 19:43:54.809528316 CEST;1618249434.809528316;nil;19;4;b8:27:eb:6b:c4:60;-39;1611;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
20;Apr 12, 2021 19:43:54.829871451 CEST;1618249434.829871451;nil;20;4;b8:27:eb:6b:c4:60;-39;1612;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
21;Apr 12, 2021 19:43:55.095554266 CEST;1618249435.095554266;nil;21;4;b8:27:eb:6b:c4:60;-7;1624;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
