id;arr_ts;epoch_ts;vendor;frame_nr;subtype;mac_address;rssi;seq_num;ht_capabilities;ht_ampdu;tag_nr;tag_length;tag_mcs;tag_HTex;tag_TXbf;tag_Antsel
1;Apr 12, 2021 16:51:40.415213672 CEST;1618239100.415213672;nil;3;4;22:0c:72:d3:48:8c;-57;709;0x0000402d;0x00000017;0;16;(none);0x00000000;0x00000000;0x00000000
2;Apr 12, 2021 16:51:40.432105765 CEST;1618239100.432105765;nil;4;4;22:0c:72:d3:48:8c;-57;710;0x0000402d;0x00000017;0;16;(none);0x00000000;0x00000000;0x00000000
3;Apr 12, 2021 16:51:40.615081443 CEST;1618239100.615081443;nil;5;4;32:67:3a:31:27:9b;-69;4065;0x0000092d;0x00000017;0;17;(none);0x00000000;0x00000000;0x00000000
4;Apr 12, 2021 16:51:40.751286231 CEST;1618239100.751286231;nil;6;4;26:8b:c1:9e:61:65;-69;1864;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
5;Apr 12, 2021 16:51:40.781360546 CEST;1618239100.781360546;nil;7;4;26:8b:c1:9e:61:65;-75;1866;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
6;Apr 12, 2021 16:51:40.870644447 CEST;1618239100.870644447;nil;8;4;3e:42:0b:3f:12:75;-69;1619;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
7;Apr 12, 2021 16:51:40.940461779 CEST;1618239100.940461779;nil;9;4;fe:14:68:41:6e:1e;-73;780;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
8;Apr 12, 2021 16:51:40.963347651 CEST;1618239100.963347651;nil;10;4;fe:14:68:41:6e:1e;-69;782;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
9;Apr 12, 2021 16:51:41.095247114 CEST;1618239101.095247114;nil;12;4;9a:ea:dd:61:54:0a;-67;2175;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
10;Apr 12, 2021 16:51:41.243390505 CEST;1618239101.243390505;nil;13;4;7e:7b:c6:3b:6f:d7;-69;1773;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
11;Apr 12, 2021 16:51:41.263622318 CEST;1618239101.263622318;nil;14;4;7e:7b:c6:3b:6f:d7;-71;1774;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
12;Apr 12, 2021 16:51:41.515192854 CEST;1618239101.515192854;nil;15;4;fa:2a:40:54:2c:cb;-83;700;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
13;Apr 12, 2021 16:51:42.090965262 CEST;1618239102.090965262;nil;19;4;30:07:4d:ec:e7:4d;-75;5;0x000001ad;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
14;Apr 12, 2021 16:51:42.093129748 CEST;1618239102.093129748;nil;20;4;30:07:4d:ec:e7:4d;-79;6;0x000001ad;0x0000001b;0;7;(none);0x00000000;0x00000000;0x00000000
15;Apr 12, 2021 16:51:42.240637787 CEST;1618239102.240637787;nil;21;4;7a:9e:11:f6:19:5c;-77;2482;0x0000002d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
16;Apr 12, 2021 16:51:42.248061902 CEST;1618239102.248061902;nil;22;4;e2:96:20:a1:32:6f;-79;430;0x0000402d;0x0000001b;0;7;(none);0x00000000;0x00000000;0x00000000
17;Apr 12, 2021 16:51:42.258326321 CEST;1618239102.258326321;nil;23;4;e2:96:20:a1:32:6f;-81;431;0x0000402d;0x0000001b;0;7;(none);0x00000000;0x00000000;0x00000000
18;Apr 12, 2021 16:51:42.262488109 CEST;1618239102.262488109;nil;24;4;7a:8a:ae:d5:ad:37;-83;720;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
19;Apr 12, 2021 16:51:42.282206131 CEST;1618239102.282206131;nil;25;4;7a:8a:ae:d5:ad:37;-75;724;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
20;Apr 12, 2021 16:51:42.303770989 CEST;1618239102.303770989;nil;26;4;7a:8a:ae:d5:ad:37;-71;727;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
21;Apr 12, 2021 16:51:42.360201311 CEST;1618239102.360201311;nil;27;4;b6:b2:57:74:79:17;-25;38;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
22;Apr 12, 2021 16:51:42.825609064 CEST;1618239102.825609064;nil;28;4;ce:16:d7:95:a6:fc;-75;2836;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
23;Apr 12, 2021 16:51:42.879138197 CEST;1618239102.879138197;nil;29;4;ce:16:d7:95:a6:fc;-73;2838;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
24;Apr 12, 2021 16:51:43.237837207 CEST;1618239103.237837207;nil;30;4;90:94:97:a1:d3:37;-77;2636;0x000001ad;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
25;Apr 12, 2021 16:51:43.645894239 CEST;1618239103.645894239;nil;31;4;e2:5b:6b:59:2d:76;-71;2994;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
26;Apr 12, 2021 16:51:43.803569774 CEST;1618239103.803569774;nil;32;4;be:73:b4:54:5d:02;-71;960;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
27;Apr 12, 2021 16:51:43.832090058 CEST;1618239103.832090058;nil;33;4;02:18:f9:31:b1:41;-77;3423;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
28;Apr 12, 2021 16:51:44.053344410 CEST;1618239104.053344410;nil;34;4;ac:5f:3e:63:aa:35;-37;4024;0x000001ad;0x00000017;0;7;(none);0x00000000;0x00000000;0x00000000
29;Apr 12, 2021 16:51:44.073682732 CEST;1618239104.073682732;nil;35;4;ac:5f:3e:63:aa:35;-35;4025;0x000001ad;0x00000017;0;7;(none);0x00000000;0x00000000;0x00000000
