id;arr_ts;epoch_ts;vendor;frame_nr;subtype;mac_address;rssi;seq_num;ht_capabilities;ht_ampdu;tag_nr;tag_length;tag_mcs;tag_HTex;tag_TXbf;tag_Antsel
1;Apr 15, 2021 19:23:03.667893817 CEST;1618507383.667893817;nil;1;4;f2:25:36:3c:02:d7;-49;2327;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
2;Apr 15, 2021 19:23:03.700639735 CEST;1618507383.700639735;nil;2;4;ca:1f:27:31:60:2b;-67;1790;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
3;Apr 15, 2021 19:23:03.903035339 CEST;1618507383.903035339;nil;3;4;a4:01:e5:08:8a:52;-41;1633;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
4;Apr 15, 2021 19:23:03.920330008 CEST;1618507383.920330008;nil;4;4;a4:01:e5:08:8a:52;-43;1634;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
5;Apr 15, 2021 19:23:04.057273933 CEST;1618507384.057273933;nil;5;4;da:24:e1:a7:ab:ad;-61;455;0x0000002d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
6;Apr 15, 2021 19:23:04.125328921 CEST;1618507384.125328921;nil;6;4;e2:53:43:c1:41:02;-57;1865;0x000001ad;0x00000013;0;0;(none);0x00000000;0x01000000;0x00000000
7;Apr 15, 2021 19:23:04.198899270 CEST;1618507384.198899270;nil;7;4;0e:2c:3f:7f:e1:0b;-65;3228;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
8;Apr 15, 2021 19:23:04.226918934 CEST;1618507384.226918934;nil;8;4;0e:2c:3f:7f:e1:0b;-69;3229;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
9;Apr 15, 2021 19:23:04.237517785 CEST;1618507384.237517785;nil;9;4;e2:53:43:c1:41:02;-63;1870;0x000001ad;0x00000013;0;0;(none);0x00000000;0x01000000;0x00000000
10;Apr 15, 2021 19:23:04.918316570 CEST;1618507384.918316570;nil;10;4;b6:c0:cd:8d:8c:0d;-61;3967;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
11;Apr 15, 2021 19:23:04.955893846 CEST;1618507384.955893846;nil;11;4;24:18:1d:29:19:0a;-71;2479;0x000001ad;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
12;Apr 15, 2021 19:23:04.996888639 CEST;1618507384.996888639;nil;12;4;24:18:1d:29:19:0a;-59;2480;0x000001ad;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
13;Apr 15, 2021 19:23:05.773836409 CEST;1618507385.773836409;nil;13;4;5a:8e:e5:e7:d1:db;-55;4053;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
14;Apr 15, 2021 19:23:05.794017090 CEST;1618507385.794017090;nil;14;4;5a:8e:e5:e7:d1:db;-57;4054;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
15;Apr 15, 2021 19:23:05.999515481 CEST;1618507385.999515481;nil;15;4;6e:57:ed:d9:68:7f;-65;445;0x0000002d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
16;Apr 15, 2021 19:23:06.082062460 CEST;1618507386.082062460;nil;16;4;e2:f7:41:4c:02:5a;-63;2029;0x000001ad;0x00000013;0;0;(none);0x00000000;0x01000000;0x00000000
17;Apr 15, 2021 19:23:06.301056499 CEST;1618507386.301056499;nil;17;4;ba:37:90:63:f3:84;-57;1834;0x000001ad;0x00000013;0;0;(none);0x00000000;0x01000000;0x00000000
18;Apr 15, 2021 19:23:06.477562633 CEST;1618507386.477562633;nil;18;4;be:a0:87:4d:b3:6d;-61;3596;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
19;Apr 15, 2021 19:23:06.513175138 CEST;1618507386.513175138;nil;19;4;46:ce:da:cf:ca:e4;-57;3750;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
20;Apr 15, 2021 19:23:06.778449126 CEST;1618507386.778449126;nil;20;4;09:cd:36:d3:7d:c2;-45;205;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
21;Apr 15, 2021 19:23:06.803079190 CEST;1618507386.803079190;nil;21;4;09:cd:36:d3:7d:c2;-45;206;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
22;Apr 15, 2021 19:23:06.823363360 CEST;1618507386.823363360;nil;22;4;09:cd:36:d3:7d:c2;-43;207;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
23;Apr 15, 2021 19:23:06.969617613 CEST;1618507386.969617613;nil;23;4;42:2b:70:8c:c0:de;-67;460;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
24;Apr 15, 2021 19:23:06.987574046 CEST;1618507386.987574046;nil;24;4;42:2b:70:8c:c0:de;-67;461;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
25;Apr 15, 2021 19:23:07.066528978 CEST;1618507387.066528978;nil;25;4;de:f0:f1:cf:71:d5;-45;242;0x000001ad;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
26;Apr 15, 2021 19:23:07.086631015 CEST;1618507387.086631015;nil;26;4;de:f0:f1:cf:71:d5;-45;243;0x000001ad;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
27;Apr 15, 2021 19:23:07.106765031 CEST;1618507387.106765031;nil;27;4;de:f0:f1:cf:71:d5;-55;244;0x000001ad;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
28;Apr 15, 2021 19:23:07.141202861 CEST;1618507387.141202861;nil;28;4;de:f0:f1:cf:71:d5;-49;246;0x000001ad;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
29;Apr 15, 2021 19:23:07.161448334 CEST;1618507387.161448334;nil;29;4;de:f0:f1:cf:71:d5;-51;247;0x000001ad;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
30;Apr 15, 2021 19:23:07.979485241 CEST;1618507387.979485241;nil;30;4;a8:9c:ed:bf:17:c6;-55;564;0x000001ad;0x00000013;0;7;(none);0x00000000;0x00000000;0x00000000
31;Apr 15, 2021 19:23:07.998175677 CEST;1618507387.998175677;nil;31;4;a8:9c:ed:bf:17:c6;-59;565;0x000001ad;0x00000013;0;7;(none);0x00000000;0x00000000;0x00000000
