id;arr_ts;epoch_ts;vendor;frame_nr;subtype;mac_address;rssi;seq_num;ht_capabilities;ht_ampdu;tag_nr;tag_length;tag_mcs;tag_HTex;tag_TXbf;tag_Antsel
1;Apr 15, 2021 17:01:26.597424734 CEST;1618498886.597424734;nil;1;4;86:a4:db:b1:f6:ef;-73;2671;0x0000016f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
2;Apr 15, 2021 17:01:26.722586323 CEST;1618498886.722586323;nil;2;4;da:a1:19:d8:8d:f2;-65;1794;0x0000012d;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
3;Apr 15, 2021 17:01:27.283760565 CEST;1618498887.283760565;nil;3;4;92:09:d2:34:fe:78;-73;694;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
4;Apr 15, 2021 17:01:27.768711886 CEST;1618498887.768711886;nil;4;4;76:7c:08:f1:35:ef;-65;3814;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
5;Apr 15, 2021 17:01:27.789068250 CEST;1618498887.789068250;nil;5;4;76:7c:08:f1:35:ef;-71;3815;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
6;Apr 15, 2021 17:01:28.478801419 CEST;1618498888.478801419;nil;9;4;ca:91:af:6a:08:82;-75;1711;0x0000016e;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
7;Apr 15, 2021 17:01:28.766228124 CEST;1618498888.766228124;nil;10;4;f2:b7:44:98:39:24;-77;2005;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
8;Apr 15, 2021 17:01:28.786704324 CEST;1618498888.786704324;nil;11;4;f2:b7:44:98:39:24;-73;2006;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
9;Apr 15, 2021 17:01:28.792519223 CEST;1618498888.792519223;nil;12;4;e2:7e:ea:4b:86:12;-69;3101;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
10;Apr 15, 2021 17:01:29.080852296 CEST;1618498889.080852296;nil;13;4;e4:04:39:d7:0d:09;-55;12;0x0000012c;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
11;Apr 15, 2021 17:01:29.083420657 CEST;1618498889.083420657;nil;14;4;e4:04:39:d7:0d:09;-51;13;0x0000012c;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
12;Apr 15, 2021 17:01:29.123229782 CEST;1618498889.123229782;nil;15;4;e4:04:39:d7:0d:09;-57;16;0x0000012c;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
13;Apr 15, 2021 17:01:29.133146691 CEST;1618498889.133146691;nil;16;4;e4:04:39:d7:0d:09;-57;17;0x0000012c;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
14;Apr 15, 2021 17:01:29.186814492 CEST;1618498889.186814492;nil;17;4;8c:f5:a3:db:08:84;-73;1965;0x000001ad;0x0000001b;0;8;(none);0x00000000;0x00000000;0x00000000
15;Apr 15, 2021 17:01:29.510309434 CEST;1618498889.510309434;nil;20;4;42:7a:9b:f6:16:8f;-73;840;0x0000402d;0x00000017;0;7;(none);0x00000000;0x00000000;0x00000000
16;Apr 15, 2021 17:01:29.538463121 CEST;1618498889.538463121;nil;21;4;e2:53:21:70:d9:5e;-55;3762;0x000001ad;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
17;Apr 15, 2021 17:01:29.578663243 CEST;1618498889.578663243;nil;22;4;e2:53:21:70:d9:5e;-53;3763;0x000001ad;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
18;Apr 15, 2021 17:01:29.682161139 CEST;1618498889.682161139;nil;23;4;1a:5a:1c:03:eb:7e;-43;3204;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
19;Apr 15, 2021 17:01:29.710972664 CEST;1618498889.710972664;nil;24;4;1a:5a:1c:03:eb:7e;-43;3205;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
20;Apr 15, 2021 17:01:29.965285423 CEST;1618498889.965285423;nil;25;4;20:18:0e:e4:12:e1;-71;767;0x00000021;0x0000001f;0;0;(none);0x00000000;0x00000000;0x00000000
21;Apr 15, 2021 17:01:30.772855954 CEST;1618498890.772855954;nil;26;4;c6:bf:6c:78:d3:0f;-63;3325;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
22;Apr 15, 2021 17:01:30.792695070 CEST;1618498890.792695070;nil;27;4;c6:bf:6c:78:d3:0f;-63;3327;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
23;Apr 15, 2021 17:01:31.192685415 CEST;1618498891.192685415;nil;30;4;52:7e:00:29:72:31;-73;740;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
24;Apr 15, 2021 17:01:31.737214828 CEST;1618498891.737214828;nil;31;4;06:df:7f:71:1a:4c;-73;3871;0x0000016f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
25;Apr 15, 2021 17:01:31.773558590 CEST;1618498891.773558590;nil;32;4;06:df:7f:71:1a:4c;-69;3872;0x0000016f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
26;Apr 15, 2021 17:01:31.818150520 CEST;1618498891.818150520;nil;33;4;da:30:c1:81:06:07;-67;3857;0x0000402d;0x00000017;0;4;(none);0x00000000;0x00000000;0x00000000
27;Apr 15, 2021 17:01:31.897259700 CEST;1618498891.897259700;nil;34;4;c0:d2:dd:9b:04:19;-65;569;0x0000016f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
