id;arr_ts;epoch_ts;vendor;frame_nr;subtype;mac_address;rssi;seq_num;ht_capabilities;ht_ampdu;tag_nr;tag_length;tag_mcs;tag_HTex;tag_TXbf;tag_Antsel
1;Apr 12, 2021 19:08:36.031882174 CEST;1618247316.0318818;nil;1;4;5a:86:46:74:41:34;-67;3674;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
2;Apr 12, 2021 19:08:36.644100609 CEST;1618247316.6441004;nil;3;4;e4:70:b8:b9:32:d2;-81;2541;0x000009e7;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
3;Apr 12, 2021 19:08:36.665417288 CEST;1618247316.6654172;nil;4;4;32:74:7a:f5:22:30;-67;266;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
4;Apr 12, 2021 19:08:36.783390221 CEST;1618247316.78339;nil;5;4;e4:70:b8:b9:32:d2;-43;2549;0x000009e7;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
5;Apr 12, 2021 19:08:37.836677774 CEST;1618247317.8366778;nil;6;4;6e:13:57:64:a3:22;-79;1016;0x0000096f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
6;Apr 12, 2021 19:08:37.874366729 CEST;1618247317.8743668;nil;7;4;6e:13:57:64:a3:22;-67;1017;0x0000096f;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
7;Apr 12, 2021 19:08:38.270764459 CEST;1618247318.2707646;nil;8;4;2e:cc:0e:8c:10:cf;-73;2300;0x0000402d;0x0000001b;0;0;(none);0x00000000;0x00000000;0x00000000
8;Apr 12, 2021 19:08:38.347816649 CEST;1618247318.3478167;nil;9;4;fc:15:b4:65:24:f0;-83;2078;0x00000160;0x00000003;0;19;(none);0x00000000;0x00000000;0x00000000
9;Apr 12, 2021 19:08:38.348819935 CEST;1618247318.3488197;nil;10;4;fc:15:b4:65:24:f0;-83;2079;0x00000160;0x00000003;0;19;(none);0x00000000;0x00000000;0x00000000
10;Apr 12, 2021 19:08:38.350371454 CEST;1618247318.3503716;nil;11;4;fc:15:b4:65:24:f0;-83;2080;0x00000160;0x00000003;0;19;(none);0x00000000;0x00000000;0x00000000
11;Apr 12, 2021 19:08:38.663119354 CEST;1618247318.6631193;nil;12;4;b2:f9:12:53:85:c9;-79;2539;0x0000402d;0x0000001b;0;11;(none);0x00000000;0x00000000;0x00000000
12;Apr 12, 2021 19:08:38.847395512 CEST;1618247318.8473954;nil;14;4;be:10:d6:15:da:70;-65;869;0x00004021;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
