id;arr_ts;epoch_ts;vendor;frame_nr;subtype;mac_address;rssi;seq_num;ht_capabilities;ht_ampdu;tag_nr;tag_length;tag_mcs;tag_HTex;tag_TXbf;tag_Antsel
1;Apr 12, 2021 11:22:24.116167186 CEST;1618219344.116167186;nil;1;4;d6:26:b4:b7:b0:93;-57;2030;0x0000016f;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
2;Apr 12, 2021 11:22:24.177903513 CEST;1618219344.177903513;nil;2;4;d6:26:b4:b7:b0:93;-59;2031;0x0000016f;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
3;Apr 12, 2021 11:22:28.776136091 CEST;1618219348.776136091;nil;3;4;92:6a:96:38:22:e7;-43;2083;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
4;Apr 12, 2021 11:22:28.792671135 CEST;1618219348.792671135;nil;4;4;92:6a:96:38:22:e7;-43;2084;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
5;Apr 12, 2021 11:22:30.466902764 CEST;1618219350.466902764;nil;8;4;ec:10:7b:6b:21:fc;-35;1447;0x0000016e;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
6;Apr 12, 2021 11:22:30.471662369 CEST;1618219350.471662369;nil;9;4;ec:10:7b:6b:21:fc;-33;1448;0x0000016e;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
7;Apr 12, 2021 11:22:30.493643297 CEST;1618219350.493643297;nil;10;4;ec:10:7b:6b:21:fc;-31;1449;0x0000016e;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
8;Apr 12, 2021 11:22:33.518090812 CEST;1618219353.518090812;nil;11;4;ae:f0:ba:3d:a9:84;-55;2299;0x0000402d;0x00000017;0;10;(none);0x00000000;0x00000000;0x00000000
9;Apr 12, 2021 11:22:34.017855494 CEST;1618219354.017855494;nil;12;4;40:f0:2f:cb:91:42;-77;996;0x0000016e;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
10;Apr 12, 2021 11:22:34.040700037 CEST;1618219354.040700037;nil;13;4;40:f0:2f:cb:91:42;-81;997;0x0000016e;0x00000003;0;0;(none);0x00000000;0x00000000;0x00000000
11;Apr 12, 2021 11:22:34.464805290 CEST;1618219354.464805290;nil;14;4;9c:32:ce:40:ff:d4;-83;2610;0x0000007e;0x00000000;0;9;(none);0x00000000;0x00000000;0x00000000
12;Apr 12, 2021 11:22:39.483804628 CEST;1618219359.483804628;nil;15;4;da:a1:19:f5:f7:3c;-77;2759;0x0000116d;0x00000017;0;0;(none);0x00000000;0x0a060400;0x00000000
13;Apr 12, 2021 11:22:39.823715364 CEST;1618219359.823715364;nil;16;4;8e:99:18:e0:cf:4a;-75;1116;0x0000012d;0x00000017;0;9;(none);0x00000000;0x00000000;0x00000000
14;Apr 12, 2021 11:22:41.451048151 CEST;1618219361.451048151;nil;17;4;ec:55:f9:83:d4:ed;-79;881;0x000001ee;0x0000001b;0;5;(none);0x00000000;0x00000000;0x00000000
15;Apr 12, 2021 11:22:41.473607128 CEST;1618219361.473607128;nil;18;4;4e:54:2f:f3:86:b3;-49;755;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
16;Apr 12, 2021 11:22:41.513052113 CEST;1618219361.513052113;nil;19;4;4e:54:2f:f3:86:b3;-45;759;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
17;Apr 12, 2021 11:22:44.344844316 CEST;1618219364.344844316;nil;20;4;06:1f:d3:c8:1a:71;-71;1002;0x0000016f;0x00000013;0;0;(none);0x00000000;0x00000000;0x00000000
18;Apr 12, 2021 11:22:45.152707951 CEST;1618219365.152707951;nil;21;4;bc:0f:2b:8f:a1:3a;-83;3689;0x00000120;0x00000002;0;4;(none);0x00000000;0x00000000;0x00000000
19;Apr 12, 2021 11:22:47.013066577 CEST;1618219367.013066577;nil;22;4;2c:dc:ad:b5:2b:5d;-75;167;0x00001121;0x00000017;0;24;(none);0x00000000;0x00000000;0x00000000
20;Apr 12, 2021 11:22:47.015582003 CEST;1618219367.015582003;nil;23;4;2c:dc:ad:b5:2b:5d;-75;168;0x00001121;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
21;Apr 12, 2021 11:22:47.892319966 CEST;1618219367.892319966;nil;24;4;6e:48:80:df:bf:32;-59;3284;0x00004021;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
22;Apr 12, 2021 11:22:48.547899628 CEST;1618219368.547899628;nil;25;4;b8:27:eb:6b:c4:60;-39;648;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
23;Apr 12, 2021 11:22:48.568201280 CEST;1618219368.568201280;nil;26;4;b8:27:eb:6b:c4:60;-39;649;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
24;Apr 12, 2021 11:22:48.725449483 CEST;1618219368.725449483;nil;27;4;b8:27:eb:6b:c4:60;-29;657;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
25;Apr 12, 2021 11:22:48.744804971 CEST;1618219368.744804971;nil;28;4;b8:27:eb:6b:c4:60;-29;658;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
26;Apr 12, 2021 11:22:48.816401634 CEST;1618219368.816401634;nil;29;4;b8:27:eb:6b:c4:60;-83;661;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
27;Apr 12, 2021 11:22:48.858404362 CEST;1618219368.858404362;nil;30;4;b8:27:eb:6b:c4:60;-7;663;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
28;Apr 12, 2021 11:22:48.992446108 CEST;1618219368.992446108;nil;31;4;b8:27:eb:6b:c4:60;-7;669;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
29;Apr 12, 2021 11:22:49.012725282 CEST;1618219369.012725282;nil;32;4;b8:27:eb:6b:c4:60;-7;670;0x00001063;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
30;Apr 12, 2021 11:22:49.828753969 CEST;1618219369.828753969;nil;33;4;8e:99:18:e0:cf:4a;-77;1138;0x0000012d;0x00000017;0;9;(none);0x00000000;0x00000000;0x00000000
31;Apr 12, 2021 11:22:52.168704642 CEST;1618219372.168704642;nil;34;4;bc:0f:2b:8f:a1:3a;-81;3705;0x00000120;0x00000002;0;4;(none);0x00000000;0x00000000;0x00000000
32;Apr 12, 2021 11:22:52.254811926 CEST;1618219372.254811926;nil;35;4;bc:0f:2b:8f:a1:3a;-79;3706;0x00000120;0x00000002;0;4;(none);0x00000000;0x00000000;0x00000000
33;Apr 12, 2021 11:22:53.318796007 CEST;1618219373.318796007;nil;36;4;f0:5c:77:27:02:cf;-83;2781;0x00000062;0x00000003;0;17;(none);0x00000000;0x09e1e008;0x00000000
34;Apr 12, 2021 11:22:53.652431734 CEST;1618219373.652431734;nil;37;4;2c:dc:ad:b5:2b:5d;-73;229;0x00001121;0x00000017;0;24;(none);0x00000000;0x00000000;0x00000000
35;Apr 12, 2021 11:22:53.655524806 CEST;1618219373.655524806;nil;38;4;2c:dc:ad:b5:2b:5d;-73;230;0x00001121;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
36;Apr 12, 2021 11:22:53.895799525 CEST;1618219373.895799525;nil;39;4;9c:32:ce:40:ff:d4;-81;3044;0x0000007e;0x00000000;0;9;(none);0x00000000;0x00000000;0x00000000
37;Apr 12, 2021 11:22:54.179483226 CEST;1618219374.179483226;nil;40;4;2e:4e:e9:43:67:80;-51;3828;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
38;Apr 12, 2021 11:22:54.180371497 CEST;1618219374.180371497;nil;41;4;2e:4e:e9:43:67:80;-51;3829;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
39;Apr 12, 2021 11:22:54.335127955 CEST;1618219374.335127955;nil;42;4;8e:99:18:e0:cf:4a;-79;1150;0x0000012d;0x00000017;0;9;(none);0x00000000;0x00000000;0x00000000
40;Apr 12, 2021 11:22:54.367529611 CEST;1618219374.367529611;nil;43;4;8e:99:18:e0:cf:4a;-79;1152;0x0000012d;0x00000017;0;9;(none);0x00000000;0x00000000;0x00000000
41;Apr 12, 2021 11:22:59.865530737 CEST;1618219379.865530737;nil;44;4;8e:99:18:e0:cf:4a;-79;1162;0x0000012d;0x00000017;0;9;(none);0x00000000;0x00000000;0x00000000
42;Apr 12, 2021 11:22:59.881663347 CEST;1618219379.881663347;nil;45;4;8e:99:18:e0:cf:4a;-81;1163;0x0000012d;0x00000017;0;9;(none);0x00000000;0x00000000;0x00000000
43;Apr 12, 2021 11:22:59.897882898 CEST;1618219379.897882898;nil;46;4;8e:99:18:e0:cf:4a;-59;1164;0x0000012d;0x00000017;0;9;(none);0x00000000;0x00000000;0x00000000
44;Apr 12, 2021 11:23:00.347232523 CEST;1618219380.347232523;nil;47;4;2c:dc:ad:b5:2b:5d;-73;293;0x00001121;0x00000017;0;24;(none);0x00000000;0x00000000;0x00000000
45;Apr 12, 2021 11:23:00.349603034 CEST;1618219380.349603034;nil;48;4;2c:dc:ad:b5:2b:5d;-69;294;0x00001121;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
46;Apr 12, 2021 11:23:00.387474486 CEST;1618219380.387474486;nil;49;4;2c:dc:ad:b5:2b:5d;-73;295;0x00001121;0x00000017;0;24;(none);0x00000000;0x00000000;0x00000000
47;Apr 12, 2021 11:23:00.849856796 CEST;1618219380.849856796;nil;50;4;9c:32:ce:40:ff:d4;-83;3199;0x0000007e;0x00000000;0;9;(none);0x00000000;0x00000000;0x00000000
48;Apr 12, 2021 11:23:00.889650932 CEST;1618219380.889650932;nil;51;4;8e:99:18:e0:cf:4a;-83;1186;0x0000012d;0x00000017;0;9;(none);0x00000000;0x00000000;0x00000000
49;Apr 12, 2021 11:23:02.338726749 CEST;1618219382.338726749;nil;52;4;9c:32:ce:40:ff:d4;-83;3231;0x0000007e;0x00000000;0;9;(none);0x00000000;0x00000000;0x00000000
50;Apr 12, 2021 11:23:04.215306781 CEST;1618219384.215306781;nil;53;4;da:a1:19:15:49:3b;-65;1244;0x0000116f;0x00000017;0;0;(none);0x00000000;0x0a060400;0x00000000
51;Apr 12, 2021 11:23:05.018649917 CEST;1618219385.018649917;nil;54;4;8e:99:18:e0:cf:4a;-81;1228;0x0000012d;0x00000017;0;9;(none);0x00000000;0x00000000;0x00000000
52;Apr 12, 2021 11:23:05.806433297 CEST;1618219385.806433297;nil;55;4;2c:dc:ad:b5:2b:5d;-71;357;0x00001121;0x00000017;0;24;(none);0x00000000;0x00000000;0x00000000
53;Apr 12, 2021 11:23:05.808973859 CEST;1618219385.808973859;nil;56;4;2c:dc:ad:b5:2b:5d;-73;358;0x00001121;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
54;Apr 12, 2021 11:23:05.860975613 CEST;1618219385.860975613;nil;57;4;82:ba:4a:36:76:94;-47;931;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
55;Apr 12, 2021 11:23:05.881262389 CEST;1618219385.881262389;nil;58;4;82:ba:4a:36:76:94;-47;932;0x0000402d;0x00000017;0;0;(none);0x00000000;0x00000000;0x00000000
